X Y
-88.635909 500.154554
-88.657225 500.161436
-88.678501 500.168492
-88.699735 500.175721
-88.720928 500.183118
-88.742080 500.190682
-88.763191 500.198410
-88.784260 500.206299
-88.805288 500.214345
-88.826275 500.222547
-88.847220 500.230902
-88.868124 500.239407
-88.888986 500.248059
-88.909807 500.256855
-88.930586 500.265793
-88.951323 500.274870
-88.972018 500.284083
-88.992672 500.293430
-89.013284 500.302907
-89.033854 500.312512
-89.054382 500.322243
-89.074868 500.332096
-89.095312 500.342069
-89.115714 500.352158
-89.136074 500.362362
-89.156392 500.372678
-89.176667 500.383102
-89.196900 500.393633
-89.217091 500.404266
-89.237239 500.415000
-89.257346 500.425832
-89.277409 500.436760
-89.297430 500.447779
-89.317409 500.458888
-89.337345 500.470084
-89.357237 500.481365
-89.377083 500.492732
-89.396880 500.504187
-89.416624 500.515731
-89.436312 500.527367
-89.455940 500.539096
-89.475505 500.550919
-89.495004 500.562839
-89.514434 500.574857
-89.533791 500.586975
-89.553072 500.599195
-89.572273 500.611517
-89.591392 500.623945
-89.610425 500.636479
-89.629369 500.649121
-89.648220 500.661873
-89.666975 500.674738
-89.685631 500.687715
-89.704185 500.700808
-89.722632 500.714017
-89.740971 500.727345
-89.759197 500.740793
-89.777307 500.754363
-89.795298 500.768057
-89.813167 500.781876
-89.830910 500.795822
-89.848525 500.809896
-89.866006 500.824101
-89.883353 500.838439
-89.900560 500.852910
-89.917625 500.867516
-89.934545 500.882260
-89.951316 500.897143
-89.967935 500.912166
-89.984398 500.927331
-90.000702 500.942641
-90.016845 500.958096
-90.032822 500.973699
-90.048630 500.989451
-90.064266 501.005353
-90.079727 501.021409
-90.095010 501.037618
-90.110110 501.053983
-90.125026 501.070506
-90.139752 501.087188
-90.154287 501.104032
-90.168627 501.121038
-90.182768 501.138208
-90.196708 501.155544
-90.210444 501.173047
-90.223982 501.190712
-90.237331 501.208532
-90.250497 501.226502
-90.263488 501.244615
-90.276312 501.262864
-90.288976 501.281245
-90.301487 501.299750
-90.313854 501.318373
-90.326084 501.337109
-90.338184 501.355950
-90.350163 501.374892
-90.362027 501.393927
-90.373784 501.413049
-90.385442 501.432252
-90.397008 501.451531
